Pin number,Pin name,Pin type,Pin description
A1,D-,Analog input,USB D- data line,,
A2,D+,Analog input,USB D+ data line,,
A3,DEC,Power,System decoupling capacitor,,
A4,SW,Power,BUCK regulator output (to inductor),,
A5,PVSS,Power,Ground (DC/DC),,
B1,VBUS,Power,Input supply,,
B2,VBUS,Power,Input supply,,
B3,VOUTBSET1,Digital I/O,BUCK regulator output voltage selection,Toggle only when the device is in Power OFF,
B4,VOUTBSET0,Digital I/O,BUCK regulator output voltage selection,Toggle only when the device is in Power OFF,
B5,VOUTB,Power,BUCK regulator output,,
C1,VSYS,Power,System voltage output; automatically enabled after power-on reset,,
C2,VSYS,Power,System voltage output; automatically enabled after power-on reset,,
C3,VTERMSET,Digital I/O,Battery charging termination voltage selection,Toggle only when the device is in Power OFF,
C4,AVSS,Power,Ground,,
C5,AVSS,Power,Ground,,
D1,VBAT,Power,Battery,,
D2,VBAT,Power,Battery,,
D3,SHPHLD,Digital I/O,Shipping mode hold,,
D4,SHPACT,Digital I/O,Shipping mode activate,,
D5,ISET,Digital I/O,VBUS current limit selection: /0 mA to 100 mA (SDP mode only)/1 mA to 500 mA,,
E1,NTC,Analog input,NTC resistor,,
E2,ICHG,Analog input,Charge current limiting resistor,,
E3,ERR,Digital OUT,Open-drain LED driver; enabled when error condition in charging,,
E4,CHG,Digital OUT,Open-drain LED driver; enabled when battery is charging,,
E5,MODE,Digital I/O,0 - automatic1 - Forced PWM,,
