Pin number,Pin name,Pin type,Pin description
A1,VIN_BUCK2,Power,Input supply for BUCK2,
A2,SW2,Power,BUCK2 regulator output (to inductor),
A3,AVSS1_2,Power,Ground (BUCK1 and BUCK2),
A4,SW1,Power,BUCK1 regulator output (to inductor),
A5,VIN_BUCK1,Power,Input supply for BUCK1,
B1,VO2,Power,BUCK2 regulator output,
B2,ENABLE,Digital IN,Enable input,
B3,RESERVED,Reserved,Connect to ground,
B4,RESERVED,Reserved,Do not connect,
B5,VO1,Power,BUCK1 regulator output,
C1,VIN_LDO0,Power,Input supply for LDO0,
C2,GPIO0,Digital I/O,General purpose input/output pin,
C3,RESERVED,Reserved,Connect to VO0,
C4,VDD_TWI,Power,Input supply for TWI,
C5,VLDO1,Power,LDO1 regulator output,
D1,VLDO0,Power,LDO0 regulator output,
D2,GPIO2,Digital I/O,General purpose input/output pin,
D3,GPIO1,Digital I/O,General purpose input/output pin,
D4,nINT,Digital OUT,Open-drain Interrupt output active low,
D5,VIN_LDO1,Power,Input supply for LDO1,
E1,VIN_GPIO,Power,Input supply for general purpose pins,
E2,SDA,Digital I/O,TWI data input/output,
E3,SCL,Digital IN,TWI clock input,
E4,RESERVED,Reserved,Do not connect,
E5,RESERVED,Reserved,Connect to ground,
F1,AVSS,Power,Ground,
F2,AVSS_ANA,Power,Ground,
F3,VIN_ANA,Power,Input supply,
F4,RESERVED,Reserved,Connect to ground,
F5,BUCK_MODE1,Digital IN,BUCK operating mode control input,
G1,VIN,Power,Input supply,
G2,BUCK_MODE0,Digital IN,BUCK operating mode control input,
G3,RESERVED,Reserved,Connect to ground,
G4,BUCK_MODE2,Digital IN,BUCK operating mode control input,
G5,VO0_IN,Power,Input supply for the control inputs and outputs,
H1,VO3,Power,BUCK3 regulator output,
H2,RESERVED,Reserved,Connect to ground,
H3,AVSS0,Power,Ground (BUCK0),
H4,READY,Digital OUT,Open-drain Ready output active high,
H5,VO0,Power,BUCK0 regulator output,
J1,VIN_BUCK3,Power,Input supply for BUCK3,
J2,SW3,Power,BUCK3 regulator output (to inductor),
J3,AVSS3,Power,Ground (BUCK3),
J4,SW0,Power,BUCK0 regulator output (to inductor),
J5,VIN_BUCK0,Power,Input supply for BUCK0,
