Pin number,Pin name,Pin type,Pin description
Left side of the chip,
1,DEC1,Power,1.1 V Digital supply decoupling,,
2,P0.00XL1,Digital I/OAnalog input,General purpose I/OConnection for 32.768 kHz crystal,,
3,P0.01XL2,Digital I/OAnalog input,General purpose I/OConnection for 32.768 kHz crystal,,
4,P0.04AIN2,Digital I/OAnalog input,General purpose I/OAnalog input,,
5,P0.05AIN3,Digital I/OAnalog input,General purpose I/OAnalog input,,
6,P0.06,Digital I/O,General purpose I/O,,
7,P0.07,Digital I/O,General purpose I/O,,
8,VDD,Power,Power supply,,
9,VDDH,Power,High voltage power supply,,
10,VBUS,Power,5 V input for USB 3.3 V regulator,,
Bottom side of the chip,
11,DECUSB,Power,USB 3.3 V regulator supply decoupling,,
12,D-,USB,USB D-,,
13,D+,USB,USB D+,,
14,P0.14,Digital I/O,General purpose I/O,,
15,P0.15,Digital I/O,General purpose I/O,,
16,P0.18nRESET,Digital I/O,General purpose I/OConfigurable as pin RESET,,
17,P0.20,Digital I/O,General purpose I/O,,
18,VDD,Power,Power supply,,
19,SWDIO,Debug,Serial wire debug I/O for debug and programming,,
20,SWDCLK,Debug,Serial wire debug clock input for debug and programming,,
Right side of the chip,
21,DEC5Not connected,Power,1.3 V regulator supply decoupling forbuild codes Cxxand earlier.Not connected forbuild codes Dxxand later.,,
22,P0.16,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
23,P0.17,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
24,ANT,RF,Single-ended radio antenna connection,See Reference circuitry for guidelines on how to ensure good RF performance,
25,VSS_PA,Power,Ground (radio supply),,
26,DEC6,Power,1.3 V regulator supply decoupling,Must be connected to DEC4 (pin 38),
27,DEC3,Power,Power supply decoupling,,
28,XC1,Analog input,Connection for 32 MHz crystal,,
29,XC2,Analog input,Connection for 32 MHz crystal,,
30,VDD,Power,Power supply,,
Top side of the chip,
31,P0.08,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
32,P0.29,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
33,P0.30,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
34,P0.28,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
35,P0.03AIN1,Digital I/OAnalog input,General purpose I/OAnalog input,Standard drive low frequency I/O only,
36,P0.02AIN0,Digital I/OAnalog input,General purpose I/OAnalog input,,
37,VSS,Power,Ground,,
38,DEC4,Power,1.3 V regulator supply decoupling,Must be connected to DEC6 (pin 26),
39,DCC,Power,DC/DC converter output,,
40,VDD,Power,Power supply,,
Backside of the the chip,
Die pad,VSS,Power,Ground pad,Exposed die pad must be connected to ground (VSS) for proper device operation,
