Pin number,Pin name,Pin type,Pin description
A1,XC1,Analog input,Connection for 32 MHz crystal,,
A2,XC2,Analog input,Connection for 32 MHz crystal,,
A3,VDD,Power,Power supply,,
A4,VSS,Power,Ground,,
A5,DEC4,Power,1.3 V regulator supply decoupling,Must be connected to DEC6 (ball C2),
A6,DCC,Power,DC/DC converter output,,
A7,DEC1,Power,1.1 V Digital supply decoupling,,
B3,P0.08,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
B4,P0.30,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
B5,P0.03/AIN1,Digital I/O/Analog input,General purpose I/O pin/Analog input,Standard drive low frequency I/O only,
B6,P0.02/AIN0,Digital I/O/Analog input,General purpose I/O pin/Analog input,,
B7,VDD,Power,Power supply,,
C1,VSS_PA,Power,Ground (radio supply),,
C2,DEC6,Power,1.3 V regulator supply decoupling,Must be connected to DEC4 (ball A5),
C4,P0.29,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
C5,P0.28,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
C6,P0.04/AIN2,Digital I/O/Analog input,General purpose I/O pin/Analog input,,
C7,P0.00/XL1,Digital I/O/Analog input,General purpose I/O pin/Connection for 32.768 kHz crystal,,
D3,VSS,Power,Ground,,
D4,VSS,Power,Ground,,
D5,VSS,Power,Ground,,
D6,P0.05/AIN3,Digital I/O/Analog input,General purpose I/O pin/Analog input,,
D7,P0.01/XL2,Digital I/O/Analog input,General purpose I/O pin/Connection for 32.768 kHz crystal,,
E1,ANT,RF,Single-ended radio antenna connection,See Reference circuitry for guidelines on how to ensure good RF performance,
E2,P0.17,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
E3,P0.16,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
E4,VSS,Power,Ground,,
E5,VSS,Power,Ground,,
E6,P0.06,Digital I/O,General purpose I/O,,
E7,VDD,Power,Power supply,,
F1,DEC5/Not connected,Power,1.3 V regulator supply decoupling for/build codes Cxx/and earlier.///Not connected for/build codes Dxx/and later.,,
F2,P0.20,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
F3,P0.15,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
F4,P0.14,Digital I/O,General purpose I/O,,
F5,VSS,Power,Ground,,
F6,P0.07,Digital I/O,General purpose I/O,,
F7,VDDH,Power,High voltage power supply,,
G1,SWDIO,Debug,Serial wire debug I/O for debug and programming,,
G2,SWDCLK,Debug,Serial wire debug clock input for debug and programming,,
G3,P0.18/nRESET,Digital I/O,General purpose I/O/Configurable as pin RESET,,
G4,D-,USB,USB D-,,
G5,D+,USB,USB D+,,
G6,DECUSB,Power,USB 3.3 V regulator supply decoupling,,
G7,VBUS,Power,5 V input for USB 3.3 V regulator,,
