Pin number,Pin name,Pin type,Pin description
Left Side of chip,
1,DEC1,Power,0.9 V regulator digital supply decoupling,
2,P0.00XL1,Digital I/OAnalog input,General purpose I/O Connection for 32.768 kHz crystal (LFXO),
3,P0.01XL2,Digital I/OAnalog input,General purpose I/OConnection for 32.768 kHz crystal (LFXO),
4,P0.02AIN0,Digital I/OAnalog input,General purpose I/OSAADC/COMP/LPCOMP input,
5,P0.03AIN1,Digital I/OAnalog input,General purpose I/OSAADC/COMP/LPCOMP input,
6,P0.04AIN2,Digital I/OAnalog input,General purpose I/OSAADC/COMP/LPCOMP input,
7,P0.05AIN3,Digital I/OAnalog input,General purpose I/OSAADC/COMP/LPCOMP input,
8,P0.06,Digital I/O,General purpose I/O,
9,P0.07,Digital I/O,General purpose I/O,
10,P0.08,Digital I/O,General purpose I/O,
11,NFC1P0.09,NFC inputDigital I/O,NFC antenna connectionGeneral purpose I/O.,
12,NFC2P0.10,NFC inputDigital I/O,NFC antenna connectionGeneral purpose I/O.,
Bottom side of chip,
13,VDD,Power,Power supply,
14,P0.11,Digital I/O,General purpose I/O,
15,P0.12,Digital I/O,General purpose I/O,
16,P0.13,Digital I/O,General purpose I/O,
17,P0.14TRACEDATA[3],Digital I/O,General purpose I/OTrace port output,
18,P0.15TRACEDATA[2],Digital I/O,General purpose I/OTrace port output,
19,P0.16TRACEDATA[1],Digital I/O,General purpose I/OTrace port output,
20,P0.17,Digital I/O,General purpose I/O,
21,P0.18TRACEDATA[0] / SWO,Digital I/O,General purpose I/OSingle wire outputTrace port output,
22,P0.19,Digital I/O,General purpose I/O,
23,P0.20TRACECLK,Digital I/O,General purpose I/OTrace port clock output,
24,P0.21nRESET,Digital I/O,General purpose I/OConfigurable as pin reset,
Right Side of chip,
25,SWDCLK,Digital input,Serial wire debug clock input for debug and programming,
26,SWDIO,Digital I/O,Serial wire debug I/O for debug and programming,
27,P0.22,Digital I/O,General purpose I/O.,
28,P0.23,Digital I/O,General purpose I/O.,
29,P0.24,Digital I/O,General purpose I/O.,
30,ANT,RF,Single-ended radio antenna connection,
31,VSS,Power,Ground (Radio supply),
32,DEC2,Power,1.3 V regulator supply decoupling (Radio supply),
33,DEC3,Power,Power supply decoupling,
34,XC1,Analog input,Connection for 32 MHz crystal,
35,XC2,Analog input,Connection for 32 MHz crystal,
36,VDD,Power,Power supply,
Top side of chip,
37,P0.25,Digital I/O,General purpose I/O.,
38,P0.26,Digital I/O,General purpose I/O.,
39,P0.27,Digital I/O,General purpose I/O.,
40,P0.28AIN4,Digital I/OAnalog input,General purpose I/O.SAADC/COMP/LPCOMP input,
41,P0.29AIN5,Digital I/OAnalog input,General purpose I/O.SAADC/COMP/LPCOMP input,
42,P0.30AIN6,Digital I/OAnalog input,General purpose I/O.SAADC/COMP/LPCOMP input,
43,P0.31AIN7,Digital I/OAnalog input,General purpose I/O pin.SAADC/COMP/LPCOMP input,
44,NC,,No connectLeave unconnected,
45,VSS,Power,Ground,
46,DEC4,Power,1.3 V regulator supply decouplingInput from DC/DC regulatorOutput from 1.3 V LDO,
47,DCC,Power,DC/DC regulator output,
48,VDD,Power,Power supply,
Bottom of chip,
Die pad,VSS,Power,Ground pad Exposed die pad must be connected to ground (VSS) for properdevice operation.,
